item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Google Pen Citron,Home/Sale/,16,214,9
Google Woodtop Bottle Black,"",2,210,42
YouTube Jotter Task Pad,Home/Stationery/Notebooks/,63,210,2
Google Tudes Recycled Tee,Apparel,17,210,11
Google Woodtop Bottle Black,Eco-Friendly,12,210,12
Google Camp Mug Gray,Lifestyle/Drinkware/,14,208,7
White Google Shoreline Bottle,Lifestyle,3,208,69
Google NYC Campus Zip Hoodie,Campus Collection,23,205,8
Android Garden Tee Orange,Home/Apparel/Women's/,447,203,0
Google Infant Charcoal Onesie,"",5,200,25
Google Beekeepers Tee Mint,Home/Apparel/Women's/,448,200,0
Google Cambridge Campus Ladies Tee,Home/Campus Collection/,252,200,0
Google Boulder Campus Unisex Tee,Home/Campus Collection/,8,200,10
Google Blue Stojo Cup,Lifestyle,3,200,67
YouTube Icon Tee Grey,Home/Apparel/Men's / Unisex/,167,198,0
Google Women's Softshell Moss,Home/Apparel/Women's/,18,198,5
Google Infant Hero Onesie Grey,Sale,27,198,5
Google Women's Eco Tee Black,Google,11,198,11
Google Super G Tumbler (Red Lid),Home/Eco-Friendly/,188,196,0
Google Jumbo Print Tee White,Sale,46,195,3
Google Land & Sea Journal Set,Home/Eco-Friendly/,188,195,0
Google Women's Pride Eco-Tee Black,Sale,37,195,3
Android Iconic Glass Bottle Green,Lifestyle/Drinkware/,541,192,0
Google Canteen Bottle Black,Lifestyle/,215,192,0
Google Cotopaxi Shell,Home/Apparel/Men's / Unisex/,31,190,2
Google Cotopaxi Shell,Home/Sale/,29,190,2
Google Women's Kirkland Pullover,"",2,189,63
Google Land & Sea Cotton Cap,Home/Shop by Brand/Google/,273,187,0
Google Land & Sea Cotton Cap,Home/Apparel/,160,187,0
Maze Pen,Home/Stationery/Writing/,18,187,8
Android Buoy Bottle,Sale,18,186,10
#IamRemarkable Water Bottle,Lifestyle/Drinkware/,548,180,0
Google Land & Sea Journal Set,Home/New/,420,180,0
Google Metallic Notebook Set,Home/Stationery/,240,180,0
Google See-No Hear-No Set,Lifestyle/Small Goods/,278,180,0
Google Mouse Pad Navy,Lifestyle/Small Goods/,279,180,0
Android Lumberjack Pin,Android,1,180,180
Stan and Friends Tee Green,Sale,15,180,9
Google F/C Long Sleeve Tee Charcoal,Google,15,180,11
Google Zip Hoodie F/C,Google,7,180,16
Google Sunglasses,Small Goods,14,178,8
Google Striped Penny Pouch,Sale,19,177,6
Android Iconic Hat Black,Home/Apparel/Hats/,1389,176,0
Google Tee Grey,Sale,41,176,4
Google Women's Kirkland Pullover,Sale,18,176,7
Android Puzzlebot v2,Small Goods,13,176,7
Google Unisex Pride Eco-Tee Black,Women's,24,176,6
YouTube Icon Tee Charcoal,Men's / Unisex,22,176,5
Google Crewneck Sweatshirt Green,Men's / Unisex,24,176,4
Google Decal,Home/Stationery/Stickers/,93,175,1
Google Kids Playful Tee,Home/Sale/,3,175,10
Google Boulder Campus Zip Hoodie,Home/Campus Collection/,8,174,11
Google Mountain View Campus Zip Hoodie,Home/Shop by Brand/Google/,19,174,3
Android Pocket Tee Navy,Women's,6,174,17
BLM Unisex Pullover Hoodie,Home/Black Lives Matter/,1,174,58
Google Bot (Multicolored),Home/Shop by Brand/Google/,7,170,21
Android Iconic Mug Gray,Home/Shop by Brand/Android/,75,170,1
YouTube Jotter Task Pad,Home/Shop by Brand/YouTube/,259,168,0
Google Super G Tumbler (Blue Lid),Home/Eco-Friendly/,188,168,0
Google Chicago Campus Mug,Home/Campus Collection/,15,168,7
Google Perk Thermal Tumbler,Lifestyle,10,168,15
Google Beekeepers Tee Mint,Men's / Unisex,15,162,9
Google Youth F/C Pullover Hoodie,"",4,160,40
#IamRemarkable Unisex Hoodie,"",3,160,32
Google Laptop Sleeve Charcoal,Lifestyle/Bags/,302,160,0
Google Cork Pencil Pouch,Home/Eco-Friendly/,108,160,1
Google Sherpa Vest Black,Home/Apparel/Women's/,14,158,5
Google Men's Tech Fleece Vest Charcoal,"",2,158,79
Google Sherpa Vest Black,Home/Apparel/,3,158,26
Google Men's Tech Fleece Vest Charcoal,Google,3,158,40
Google Camp Mug Gray,Home/Shop by Brand/Google/,197,156,0
Google Laptop and Cell Phone Stickers,Home/Stationery/,240,156,0
Google See-No Hear-No Set,Google,5,156,31
Google Tee Grey,Home/Sale/,73,154,0
Google Women's Eco Tee Black,Apparel,17,154,5
